sku,product_name,product_description,product_in_stock,max_price_ol,product_price,max_price_gretaer_product_price,product_brand
RAI0007,Silver Rain Design mStand Support,Aluminum support compatible with all MacBook,1,54.99,59.99,False,Rain Design
APP0023,Apple Mac Keyboard Keypad Spanish,USB ultrathin keyboard Apple Mac Spanish.,0,60.49,60.49,True,Apple
APP0025,Mighty Mouse Apple Mouse for Mac,mouse Apple USB cable.,0,59.0,59.0,False,Apple
APP0072,Apple Dock to USB Cable iPhone and iPod white,IPhone dock and USB Cable Apple iPod.,0,25.0,25.0,False,Apple
KIN0007,Mac Memory Kingston 2GB 667MHz DDR2 SO-DIMM,2GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,1,35.71,35.71,True,Kingston
APP0073,Apple Composite AV Cable iPhone and iPod white,IPhone and iPod AV Cable Dock to Composite Video.,0,45.0,45.0,False,Apple
KIN0008,Mac Memory Kingston 1GB 667MHz DDR2 SO-DIMM,1GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,0,,18.99,False,Kingston
KIN0009,Mac Memory Kingston 2GB 800MHz DDR2 SO-DIMM,2GB RAM iMac with Intel Core 2 Duo (Penryn).,0,36.99,36.99,False,Kingston
KIN0001-2,Mac memory Kingston 4GB (2x2GB) 667MHz DDR2 SO-DIMM,RAM 4GB (2x2GB) Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,0,76.99,76.99,True,Kingston
APP0100,Apple Adapter Mini Display Port to VGA,Adapter Mini Display Port to VGA MacBook and MacBook Pro (unibody).,0,35.0,35.0,False,Apple
APP0101,Apple Mini DisplayPort to DVI Adapter,Adapter mini DisplayPort to DVI MacBook and MacBook Pro (unibody).,0,35.0,35.0,False,Apple
SEN0021,Sennheiser CX 300-II Precision headphones iPhone iPad and iPod black,Headphones iPhone iPad iPad 2 iPad 3 and iPod.,0,,49.99,False,
APP0111,Apple USB Ethernet Adapter Mac,USB to Ethernet adapter Mac.,0,35.0,35.0,False,Apple
APP0156,45W MagSafe charger Apple MacBook Air,Charger MacBook Air MagSafe 45 W (MC747Z / A).,0,89.0,89.0,False,Apple
MOS0013,Adapter Moshi FireWire 400 to FireWire 800,FireWire 400 adapter cable FireWire 800.,0,17.99,20.0,False,Moshi
MOS0021,Clearguard Moshi MacBook Pro and Air,Keyboard Protector MacBook Pro 13-inch Retina 15 inches 17 inches 13 inches 15 inches and 13-inch Air.,0,24.99,24.99,True,Moshi
APP0206,"60W MagSafe charger Apple MacBook and MacBook Pro 13 """,Charger MacBook and 13 inch MacBook MagSafe 60 W (MC461Z / A).,1,89.0,89.0,False,Apple
HGD0007,"Henge Docks Docking Station MacBook Pro 13 """,Dock and support with multiple connections for MacBook Pro 13-inch.,0,69.99,69.99,False,Henge Docks
MUV0009,Muvit Back Clear Case iPhone 4 / 4S Transparent,Case iPhone 4 / 4S polycarbonate.,0,9.99,9.99,False,Muvit
APP0234,Apple Dock Connector to VGA,Dock Connector to VGA IOS.,0,35.0,35.0,False,Apple
APP0247,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17""",Charger MacBook Pro MagSafe 85 W (MC556Z / A).,1,89.0,89.0,False,Apple
APP0233,Apple iPad Camera Connection connector,IPad connector for digital cameras and SD cards.,0,,35.0,False,Apple
JMO0014,Just Mobile Upstand iPad support,Support Retina iPad and iPad mini aluminum.,0,,49.95,False,Just Mobile
MOB0007,Mobee Magic Charger Charger Magic Mouse,Wireless Charger for Magic Mouse,0,,49.99,False,
APP0277,Apple Wireless Keyboard Keyboard (OEM) Mac,Ultrathin keyboard Apple Bluetooth Spanish (unboxed).,0,,79.0,False,Apple
MOP0011,Mophie Juice Pack Air Battery Case iPhone 4 / 4S black,Battery Case iPhone 4 / 4S rigid polymer.,0,,69.99,False,Mophie
APP0280,Apple HDMI to HDMI Cable 1.8m,HMDI to HDMI Cable 1.8m.,0,25.0,25.0,False,Apple
OND0069,Adapter mini DVI to HDMI,Adapter mini DVI to HDMI for Mac and PC,0,14.99,16.49,False,
SNN0007,Sonnet Tempo SATA PCIe Mac and PC E2P,PCIe Card with 2 Serial ATA ports Mac and PC.,0,58.9,59.99,False,Sonnet
KIN0025,Mac memory DIMM DDR3 2GB 1333MHz Kingston,2GB RAM Mac Pro (July 2010).,0,18.31,29.99,False,Kingston
OND0073,Mini DisplayPort to HDMI Cable 18m,Cable with Mini DisplayPort to HDMI (audio + video),0,16.99,22.99,False,
MOS0042,Adapter Moshi Mini Display Port to VGA,Cable Adapter Mini Display Port to VGA.,0,,34.99,False,Moshi
BEL0070,Music Receiver Belkin iPhone music receiver,Music Receiver iPhone iPad and iPod Touch for stereos via Bluetooth,0,29.99,49.99,False,Belkin
LMP0007,KeyPad LMP Bluetooth Keypad Mac,expansion keypad Mac with bluetooth connection.,1,39.99,54.99,False,LMP
TWS0019,Twelve South MagicWand support Apple Magic Trackpad,MagicWand for wireless keyboard and Magic Trackpad.,0,29.99,29.99,False,Twelve South
BEL0072,Belkin PRO Series USB 2.0 Cable 18M,USB Cable USB type A and type B 18m in length for Mac and PC,1,2.99,3.99,False,Belkin
APP0308,AV Cable Adapter Apple iPhone iPad and iPod white,IPhone iPad iPod adapter and AV cable.,0,45.0,45.0,False,Apple
